Gene_symbol_ENTREZ_ID	Effect_size	p_value	q_value
CEP57 (9702)	-0.215355743	0.000287968	0.00090449
KDSR (2531)	-0.215315056	0.001481796	0.003948156
ZMYM3 (9203)	-0.215218088	0.001501512	0.003996239
NKD2 (85409)	-0.215201251	0.171325904	0.250792408
CLEC2B (9976)	-0.215121801	0.163107611	0.24067613
USP13 (8975)	-0.215034172	0.00249133	0.006278835
MTA1 (9112)	-0.215021645	0.001023292	0.002832548
MBD5 (55777)	-0.2149954	2.25E-05	9.03E-05
FAAP100 (80233)	-0.214918542	2.95E-05	0.00011511
ZNF248 (57209)	-0.214857225	0.000128815	0.000438717
ZNF516 (9658)	-0.214792786	0.036433787	0.066522501
COPE (11316)	-0.214786859	1.02E-06	5.36E-06
SERF1A (8293)	-0.214749017	0.001644727	0.004328657
GPATCH11 (253635)	-0.214710246	0.000177971	0.000586819
METAP2 (10988)	-0.214698442	9.32E-06	4.06E-05
CENPE (1062)	-0.214627842	0.00156696	0.004152531
PRDM10 (56980)	-0.214537047	1.57E-05	6.49E-05
INHBE (83729)	-0.214522938	0.094866499	0.151445867
CLIC4 (25932)	-0.214466632	0.078891893	0.129541456
EP400 (57634)	-0.214433882	5.98E-06	2.71E-05
SLIT1 (6585)	-0.214416172	0.022369773	0.043574169
SERPINB10 (5273)	-0.214402269	0.009650909	0.020831774
FAR1 (84188)	-0.214339167	0.00326881	0.008018721
ZMYND10 (51364)	-0.214310825	0.001294631	0.00349914
ZNF548 (147694)	-0.214237986	0.011215262	0.02386141
PUS7L (83448)	-0.214237829	7.79E-05	0.000278746
AP3S1 (1176)	-0.214125357	0.002019679	0.005212286
TOMM40L (84134)	-0.214098427	0.002590989	0.006502607
SPDYE3 (441272)	-0.214097255	4.96E-05	0.000184713
CIC (23152)	-0.214014795	0.000420222	0.00127109
TNRC6B (23112)	-0.213856124	0.000109091	0.000377929
ESPL1 (9700)	-0.21374782	0.004836914	0.011310355
MCHR1 (2847)	-0.213730104	9.04E-05	0.000319245
PARG (8505)	-0.213721764	1.75E-06	8.83E-06
SH3BGRL3 (83442)	-0.213387836	0.039053146	0.070598058
LHFPL6 (10186)	-0.213340897	0.233893596	0.325861218
ZFYVE27 (118813)	-0.213292671	5.14E-06	2.36E-05
PRMT1 (3276)	-0.213231138	1.98E-05	8.06E-05
PDCD1 (5133)	-0.213223595	0.000101796	0.000355423
MPC1 (51660)	-0.213146145	0.006053068	0.013798519
SLC9A9 (285195)	-0.213125786	0.013216304	0.027522345
TTC37 (9652)	-0.213068785	0.000565651	0.001659082
CAD (790)	-0.213060361	0.000618185	0.00179556
GPR35 (2859)	-0.213007408	0.116555122	0.180733133
NLRP6 (171389)	-0.212832915	9.83E-10	9.28E-09
SPECC1L (23384)	-0.212821004	0.000566586	0.00166157
C16orf72 (29035)	-0.212781333	1.18E-05	5.01E-05
LCN8 (138307)	-0.212730107	8.50E-05	0.000301933
MAN2A1 (4124)	-0.212709872	0.008874812	0.01931114
KCNJ8 (3764)	-0.212592326	0.014413191	0.029661519
IMPA1 (3612)	-0.212577996	0.000914015	0.002559296
HAVCR2 (84868)	-0.212552485	0.000498467	0.001478107
WDR27 (253769)	-0.212497729	0.002880504	0.007156959
XPO4 (64328)	-0.212464546	3.10E-05	0.000120587
COL10A1 (1300)	-0.212389581	0.001586374	0.004198747
KLHDC3 (116138)	-0.212309567	0.000273329	0.000863181
TCTA (6988)	-0.212254301	0.002350261	0.005968403
TENM4 (26011)	-0.212132869	0.093619777	0.149804163
NPIPA3 (642778)	-0.212059365	0.002350962	0.005968403
RGS19 (10287)	-0.211897218	0.021211384	0.04164401
LTK (4058)	-0.211834955	0.04369365	0.077840241
DPH1 (1801)	-0.211812708	6.05E-05	0.000221647
DESI2 (51029)	-0.211791446	0.000105261	0.000365985
ZNF395 (55893)	-0.211736113	0.008781789	0.019128294
IL10 (3586)	-0.211714308	0.002822693	0.007034318
MMP23B (8510)	-0.211707952	0.007608235	0.016883279
ZNF91 (7644)	-0.211642254	0.035014018	0.064285832
CTDNEP1 (23399)	-0.211625936	5.29E-07	2.96E-06
DRP2 (1821)	-0.211590383	5.45E-05	0.000201323
SRP14 (6727)	-0.211502795	6.26E-07	3.44E-06
CCDC144A (9720)	-0.211480864	0.018235856	0.036502219
GRIPAP1 (56850)	-0.21138392	0.000467923	0.001397708
RAB29 (8934)	-0.211375671	0.015093593	0.03088081
TMEM59L (25789)	-0.211335276	0.10575024	0.166145474
MAP4K4 (9448)	-0.211331536	0.05036209	0.088064656
FER (2241)	-0.21114818	0.002286775	0.005822534
CLSPN (63967)	-0.211058446	0.012381075	0.026003653
TGFBRAP1 (9392)	-0.210909369	6.07E-05	0.0002224
SREK1IP1 (285672)	-0.21086766	4.81E-06	2.22E-05
CDC14A (8556)	-0.210858587	0.00057984	0.001695834
PYURF (100996939)	-0.210840933	0.000221731	0.000714977
CASP1 (834)	-0.210813684	0.244072348	0.337439231
CCDC163 (126661)	-0.210790842	0.001084194	0.00298387
UNC13C (440279)	-0.210781525	0.018415576	0.036815768
GSTCD (79807)	-0.210766075	2.18E-05	8.77E-05
AKAP8L (26993)	-0.210762623	1.83E-05	7.48E-05
DNASE1 (1773)	-0.210672079	0.004345284	0.010318297
NCL (4691)	-0.210547875	2.93E-05	0.00011475
KMT2C (58508)	-0.210389792	0.000939563	0.002624688
HCFC2 (29915)	-0.210362076	0.001187928	0.003236792
BCLAF1 (9774)	-0.210299052	2.66E-05	0.000104922
TCEA1 (6917)	-0.210270782	0.000269321	0.000851738
PLPPR3 (79948)	-0.210224033	0.082328407	0.134272877
ACSM3 (6296)	-0.210191258	0.098496128	0.156443198
CRAMP1 (57585)	-0.210150881	0.000132891	0.000451315
GALK1 (2584)	-0.210125146	0.002924807	0.007253854
NCBP3 (55421)	-0.210046218	4.75E-05	0.000177776
LSAMP (4045)	-0.209906184	0.052679783	0.091573756
PLRG1 (5356)	-0.209848523	2.00E-06	9.97E-06
ATP5PO (539)	-0.209769512	1.39E-06	7.15E-06
CEP97 (79598)	-0.209767913	0.000331505	0.001026416
VPS4B (9525)	-0.20976089	5.14E-05	0.000190743
KIT (3815)	-0.209726751	0.133073742	0.202283922
PCGF5 (84333)	-0.209643693	0.011910337	0.025116931
HSD17B6 (8630)	-0.209591443	0.010079038	0.021658221
TRIM24 (8805)	-0.20957527	0.006702194	0.01508427
CERK (64781)	-0.209541028	0.02175359	0.042549919
GLYATL1 (92292)	-0.209473531	0.007314074	0.016309916
C3AR1 (719)	-0.209443209	0.000917668	0.002568397
TAF3 (83860)	-0.20944063	1.70E-06	8.63E-06
ZNF273 (10793)	-0.209439148	0.002302346	0.005857292
YLPM1 (56252)	-0.209368555	4.95E-05	0.000184465
VPS26B (112936)	-0.209331565	0.007027611	0.015742637
DBP (1628)	-0.209273486	0.024166969	0.046521111
MTRF1 (9617)	-0.209063682	0.0001325	0.000450228
RSRC2 (65117)	-0.208882066	1.91E-06	9.58E-06
ENAM (10117)	-0.208835331	0.000430588	0.001297417
ST13 (6767)	-0.208763041	4.13E-06	1.93E-05
MRPL1 (65008)	-0.208715469	4.11E-05	0.000155602
CDK11A (728642)	-0.208669102	0.000695504	0.001999509
TXLNG (55787)	-0.208568975	0.001013156	0.002809366
PANK1 (53354)	-0.208565074	0.003249929	0.007977515
SFXN4 (119559)	-0.208530098	0.002975326	0.007368647
WWP2 (11060)	-0.208431029	0.000164832	0.000547744
MPV17 (4358)	-0.208401086	5.69E-05	0.000209485
OTUD5 (55593)	-0.208235355	4.88E-05	0.000182055
EOGT (285203)	-0.208180297	0.015417609	0.031463032
SLC25A51 (92014)	-0.207970554	0.000169664	0.000562432
RORB (6096)	-0.20791349	0.004326864	0.010277107
FGFBP3 (143282)	-0.207818287	0.002222919	0.005676344
CMPK2 (129607)	-0.207757133	0.07046932	0.117739978
LRRC70 (100130733)	-0.207571763	1.73E-06	8.75E-06
MRPL44 (65080)	-0.207492215	4.28E-07	2.45E-06
FAM204A (63877)	-0.207482106	2.08E-06	1.04E-05
WDR11 (55717)	-0.207468427	0.000133277	0.000452307
PRPF18 (8559)	-0.207425272	2.87E-06	1.39E-05
ZNF280B (140883)	-0.207422893	0.001615382	0.004261545
XKR8 (55113)	-0.207361603	0.009476766	0.020485909
USF1 (7391)	-0.207360666	0.000265596	0.000841399
ZC3H6 (376940)	-0.207310217	0.000232106	0.000745043
TAL1 (6886)	-0.207277939	0.012734234	0.026645991
TIA1 (7072)	-0.207224629	0.000653586	0.001888357
AKAP7 (9465)	-0.207173465	0.014623906	0.030041855
QTRT1 (81890)	-0.207145702	5.04E-05	0.000187402
FAM120B (84498)	-0.206980106	5.65E-05	0.000208039
HECTD4 (283450)	-0.206948737	0.000534425	0.001575703
ZFP2 (80108)	-0.206724967	3.76E-09	3.18E-08
NEURL4 (84461)	-0.206515786	0.000373058	0.001141231
TMEM50B (757)	-0.206484687	0.000216112	0.000698506
NAAA (27163)	-0.206471956	0.068690138	0.115169381
LRRFIP2 (9209)	-0.20646193	0.001460729	0.003898535
NLRX1 (79671)	-0.206416724	0.00804918	0.017754754
AKAP8 (10270)	-0.206341823	9.30E-07	4.95E-06
DYNC1LI1 (51143)	-0.206334729	3.59E-05	0.000137556
WARS (7453)	-0.206205714	0.018151977	0.036349525
ADH1B (125)	-0.206151976	0.000604727	0.001759462
IDNK (414328)	-0.206030429	0.007309805	0.016302295
COL11A1 (1301)	-0.206014447	0.265735493	0.361695007
MICU2 (221154)	-0.206014445	4.03E-05	0.000152833
MCM9 (254394)	-0.206011476	4.61E-05	0.000172984
ZNF324B (388569)	-0.205991736	9.13E-05	0.000322055
NTNG1 (22854)	-0.205910564	0.067559736	0.11358247
CWC27 (10283)	-0.205717584	7.15E-06	3.18E-05
NUP188 (23511)	-0.205525409	0.000633932	0.001836839
MLST8 (64223)	-0.205495792	2.00E-05	8.10E-05
OXSR1 (9943)	-0.205478398	9.72E-05	0.000340943
ENO2 (2026)	-0.205475495	0.180048272	0.261585756
DOK5 (55816)	-0.205379863	0.072760832	0.120945851
SIDT1 (54847)	-0.205366644	0.054001324	0.093539754
SCCPDH (51097)	-0.205361341	0.032918523	0.060888135
SEL1L3 (23231)	-0.205357537	0.188655445	0.272123254
ITGAE (3682)	-0.205310995	0.000989512	0.00274898
BBS4 (585)	-0.20530091	0.000371473	0.001137473
CHST11 (50515)	-0.205272673	0.136234269	0.206448891
ZCCHC10 (54819)	-0.205257675	4.77E-06	2.20E-05
CACTIN (58509)	-0.2052472	1.70E-06	8.60E-06
ADAMTS4 (9507)	-0.205222004	0.006607004	0.01489104
REL (5966)	-0.205199731	0.005628765	0.012926712
ANGPTL1 (9068)	-0.205048959	0.000647692	0.001874067
DAXX (1616)	-0.205024185	4.60E-05	0.000172461
EIF3D (8664)	-0.205011976	5.42E-06	2.47E-05
ZHX2 (22882)	-0.205002231	0.067251871	0.113134431
TLK1 (9874)	-0.204972191	3.18E-05	0.000123187
AZI2 (64343)	-0.204772228	0.000198144	0.000646323
KCTD13 (253980)	-0.204735248	0.000228485	0.000734282
PDIK1L (149420)	-0.204679881	0.001118263	0.003067053
BRIP1 (83990)	-0.204620156	0.002886374	0.007170614
USP47 (55031)	-0.204555697	0.000107688	0.000373677
NBAS (51594)	-0.204498867	0.000285771	0.00089862
ITSN2 (50618)	-0.20446865	0.000293547	0.000920551
PIP4P2 (55529)	-0.204439279	0.044241263	0.078698638
NCAPG (64151)	-0.204351066	0.005087257	0.011806334
ZNF746 (155061)	-0.204336057	2.92E-05	0.000114225
SH3BP2 (6452)	-0.204325828	0.023777602	0.045868441
FBXO8 (26269)	-0.204307234	0.000545222	0.001605063
FXYD1 (5348)	-0.204254196	0.002639773	0.00660858
STMN4 (81551)	-0.204191881	0.01957812	0.038827673
SH2D4B (387694)	-0.204174101	0.000253513	0.000806455
ACBD4 (79777)	-0.204121234	0.004410339	0.010453237
TUBGCP5 (114791)	-0.203907202	0.000163037	0.000542626
ZNF569 (148266)	-0.203891598	0.025760241	0.049221884
ZNF224 (7767)	-0.203874357	0.002465239	0.006221268
SUN2 (25777)	-0.20381242	0.005028884	0.011696387
NME4 (4833)	-0.203806185	0.151602279	0.226139476
CERS5 (91012)	-0.203798926	1.15E-05	4.90E-05
AP4E1 (23431)	-0.203749874	3.32E-05	0.00012837
SERBP1 (26135)	-0.203709827	2.05E-05	8.30E-05
TBC1D10B (26000)	-0.203694709	2.41E-05	9.60E-05
SEPT5 (5413)	-0.203612003	0.228219856	0.319280979
SNX2 (6643)	-0.203584754	0.000403325	0.001224236
IGFLR1 (79713)	-0.20357258	0.013941558	0.028825703
KLC1 (3831)	-0.203542264	0.000365491	0.001122027
SLC35E3 (55508)	-0.203493205	0.004857459	0.011352849
KCTD7 (154881)	-0.203379415	0.007103999	0.015893298
POU2F1 (5451)	-0.203351827	0.001138267	0.003116561
CUL9 (23113)	-0.203337266	0.004820462	0.011280153
NSD1 (64324)	-0.203305422	0.000757539	0.002159048
SON (6651)	-0.203209767	1.22E-05	5.17E-05
ILKAP (80895)	-0.203207774	7.84E-06	3.46E-05
MAPKAPK2 (9261)	-0.203196559	0.000800977	0.002268999
PRPS1 (5631)	-0.203160746	0.003288016	0.008059638
CYP2R1 (120227)	-0.203154459	0.022650083	0.044040403
CSNK1G1 (53944)	-0.203122353	5.31E-06	2.43E-05
ZNF384 (171017)	-0.203079582	0.000170335	0.000564071
NSUN4 (387338)	-0.203068849	6.98E-06	3.11E-05
CDK14 (5218)	-0.203067963	0.140788511	0.212041166
CAPZB (832)	-0.203037259	0.000189383	0.00061954
RPL39 (6170)	-0.202943221	0.000215273	0.000696381
BDP1 (55814)	-0.20292844	0.000289041	0.000907411
ARPP19 (10776)	-0.202897987	3.70E-05	0.000141522
TRIM34 (53840)	-0.202810409	0.042102082	0.075404833
DARS (1615)	-0.20270715	9.04E-06	3.95E-05
MYEF2 (50804)	-0.202689731	0.254953867	0.349555026
ZNF597 (146434)	-0.202651662	6.65E-05	0.000241541
CD300C (10871)	-0.202589408	9.75E-05	0.000341723
SEPT9 (10801)	-0.202519377	0.028980716	0.054508885
KANSL1 (284058)	-0.202498032	0.00030369	0.000950128
PDF (64146)	-0.202444907	0.000676175	0.001947741
FAM8A1 (51439)	-0.202381047	0.001648452	0.004336673
PLIN3 (10226)	-0.202347254	0.042451504	0.075924103
RPUSD3 (285367)	-0.202272098	0.000130468	0.000444033
PPP5C (5536)	-0.202269069	2.48E-05	9.85E-05
SMC3 (9126)	-0.202217116	0.001058443	0.002920137
PRPF4B (8899)	-0.202192601	4.92E-05	0.000183319
FBXO38 (81545)	-0.202166207	1.55E-05	6.43E-05
GTF2B (2959)	-0.201921309	9.72E-07	5.14E-06
TSLP (85480)	-0.201918147	0.004487489	0.010598135
NOL12 (79159)	-0.201913672	5.66E-05	0.000208478
PDZRN3 (23024)	-0.201890708	0.156301056	0.232038919
RRM1 (6240)	-0.201867346	0.001410388	0.003776818
MYPOP (339344)	-0.20184612	5.28E-06	2.41E-05
RCOR2 (283248)	-0.201833797	0.071585024	0.119270991
AHI1 (54806)	-0.201757392	0.004434784	0.010500865
LIMS1 (3987)	-0.201754183	0.006285173	0.014244507
TUBA1B (10376)	-0.201572472	0.001961258	0.005076721
MYBPC2 (4606)	-0.201567068	0.015640304	0.031852976
RSL1D1 (26156)	-0.201527692	5.59E-05	0.00020586
KCNK2 (3776)	-0.201518125	0.160331141	0.237272641
RAD52 (5893)	-0.201518043	0.000301467	0.000943636
VMAC (400673)	-0.201379505	0.00053164	0.001568458
KRCC1 (51315)	-0.201300302	0.019831942	0.039257852
NXF1 (10482)	-0.201291621	7.34E-06	3.26E-05
JAKMIP2 (9832)	-0.201279347	0.073271042	0.121624973
RNF220 (55182)	-0.201268843	9.15E-06	3.99E-05
CDC37L1 (55664)	-0.201262453	0.00075271	0.002146883
ZNF84 (7637)	-0.201176161	0.005186156	0.012011102
NDUFV3 (4731)	-0.20115642	1.42E-05	5.93E-05
HSD17B11 (51170)	-0.201065455	0.077835488	0.128013968
CEP350 (9857)	-0.201042934	0.000312256	0.000973588
LDAH (60526)	-0.200994765	0.02246384	0.043726258
ABRACL (58527)	-0.200857121	0.046185391	0.081678811
VSTM4 (196740)	-0.200775753	0.025050967	0.048029616
ZNF23 (7571)	-0.200745572	8.07E-05	0.00028833
SLC46A3 (283537)	-0.200744579	0.038902364	0.070371998
BCS1L (617)	-0.200733823	5.78E-06	2.62E-05
PRKG1 (5592)	-0.200723507	0.030917915	0.057644387
SMPD3 (55512)	-0.200382228	0.055874524	0.096331222
MXI1 (4601)	-0.20022065	0.02540312	0.048622008
IDI1 (3422)	-0.200204178	0.0073835	0.016449403
CTH (1491)	-0.200140638	0.069035775	0.115604738
R3HCC1L (27291)	-0.200005308	1.69E-06	8.57E-06
PFKM (5213)	-0.199940574	0.037645053	0.068444127
CDX1 (1044)	-0.199911849	0.06610733	0.111434246
ABCA7 (10347)	-0.199875368	0.051456754	0.089724757
ZNF559 (84527)	-0.199861063	0.023569175	0.045563852
ICOS (29851)	-0.199789937	0.000162576	0.000541279
HTR1F (3355)	-0.199748111	4.08E-05	0.000154479
REXO5 (81691)	-0.199738467	0.009889627	0.021291838
HAUS3 (79441)	-0.199727413	4.88E-05	0.000182148
LAMTOR3 (8649)	-0.199576446	1.78E-06	8.98E-06
NOP10 (55505)	-0.199562308	6.33E-05	0.000231046
CCDC85B (11007)	-0.199550635	0.026921463	0.051180188
CCNF (899)	-0.19946435	0.004217379	0.010051979
CCSAP (126731)	-0.199352756	0.00374498	0.009026047
UTS2B (257313)	-0.199312258	0.000631493	0.001830603
HHIPL1 (84439)	-0.199193566	0.00199312	0.005153469
PHIP (55023)	-0.199132537	0.001282131	0.003468293
ARHGDIG (398)	-0.199018595	0.065365132	0.110413246
ENDOG (2021)	-0.198957606	0.000714201	0.002048645
DDIT4L (115265)	-0.198950498	0.045159907	0.080139161
YBX1 (4904)	-0.198931864	6.47E-05	0.000235586
FAIM2 (23017)	-0.198915928	0.034571578	0.063546643
TELO2 (9894)	-0.198904099	0.000757337	0.002158793
CHCHD4 (131474)	-0.198798345	0.000178436	0.00058805
POLR2E (5434)	-0.198717973	2.33E-05	9.32E-05
MYSM1 (114803)	-0.198717545	0.001011251	0.002805494
TRMT1 (55621)	-0.19866818	0.000158287	0.000528286
HERPUD1 (9709)	-0.198591239	0.022494488	0.043777013
LSM1 (27257)	-0.198581733	0.000112461	0.000388551
RPL36A (6173)	-0.198530812	0.000895988	0.002511021
ZNF174 (7727)	-0.198520645	3.62E-06	1.71E-05
ZCCHC8 (55596)	-0.198506631	9.60E-05	0.000336856
CASD1 (64921)	-0.198433851	0.006909536	0.015498084
PLGLB2 (5342)	-0.198303682	0.000358974	0.001103613
CHST10 (9486)	-0.198204564	0.114357209	0.177713646
ZNF106 (64397)	-0.197866155	0.001227481	0.003333649
ARL10 (285598)	-0.197686898	0.059289617	0.101487878
BNIP3L (665)	-0.197572228	0.022691206	0.044097091
UNC5C (8633)	-0.197534787	0.041233027	0.074035366
ATXN7L3 (56970)	-0.197532192	5.25E-06	2.40E-05
ZNF346 (23567)	-0.197521921	0.000183465	0.000601929
SMC5 (23137)	-0.19745275	0.00068141	0.001961051
SLC25A12 (8604)	-0.197435856	0.00022767	0.000731785
SH3BP5L (80851)	-0.197410933	0.000730726	0.002089785
SLC19A1 (6573)	-0.197384409	0.007744212	0.017147259
PHGDH (26227)	-0.197344244	0.239443662	0.332167352
PPID (5481)	-0.197337506	0.000138158	0.00046771
E2F8 (79733)	-0.197328699	0.022262777	0.043396661
TCEANC2 (127428)	-0.197298348	2.13E-05	8.58E-05
MAPK11 (5600)	-0.19729662	0.065504683	0.110603427
ZNF189 (7743)	-0.197151141	8.47E-05	0.000300988
GINS2 (51659)	-0.197075413	0.018618465	0.037170913
TAOK2 (9344)	-0.19690642	5.89E-05	0.000216244
SRBD1 (55133)	-0.196871784	9.28E-05	0.000326541
TSTD2 (158427)	-0.196734723	0.000397941	0.001209235
GALT (2592)	-0.196687077	0.002280435	0.005808495
PIGBOS1 (101928527)	-0.196632446	6.44E-05	0.000234516
MADD (8567)	-0.196628905	0.005425749	0.012505483
TECPR1 (25851)	-0.196627947	0.008886152	0.019327026
ALKBH2 (121642)	-0.196607033	0.004266235	0.010153258
ATE1 (11101)	-0.196531035	0.000168278	0.000558323
FAM98B (283742)	-0.196494432	5.55E-05	0.000204761
LYRM9 (201229)	-0.196494374	0.027972404	0.05290493
MRPS21 (54460)	-0.196460046	0.003670224	0.008867084
DOK4 (55715)	-0.196455817	0.145312592	0.217963196
NPM1 (4869)	-0.196423767	0.000482543	0.001437119
TMSB4Y (9087)	-0.196416907	0.000372562	0.001140079
SFSWAP (6433)	-0.196406724	9.56E-06	4.15E-05
NUP54 (53371)	-0.196405792	1.60E-05	6.60E-05
C9orf24 (84688)	-0.196292902	0.002497134	0.006289321
SPTLC2 (9517)	-0.196207348	0.003872742	0.009309363
NASP (4678)	-0.196090131	0.005636802	0.012943618
AAAS (8086)	-0.196061606	5.70E-06	2.59E-05
VIPR2 (7434)	-0.195993901	0.001466599	0.003913656
RGS5 (8490)	-0.195904432	0.117221641	0.181604847
ABHD6 (57406)	-0.195858175	0.016643682	0.033670785
GLT1D1 (144423)	-0.195788767	0.002987045	0.007394801
SLC1A1 (6505)	-0.195733615	0.127656908	0.195087719
CALCRL (10203)	-0.195658134	0.040036003	0.072158161
FOXD4 (2298)	-0.19557195	7.76E-05	0.000277778
XKR5 (389610)	-0.195571227	8.66E-05	0.000306923
PSMA8 (143471)	-0.19555926	0.000479284	0.001428524
CYB5R4 (51167)	-0.195455629	0.001206207	0.003280527
SF3B1 (23451)	-0.195401259	2.68E-06	1.30E-05
KCTD6 (200845)	-0.195373517	0.001078977	0.002972077
MTHFD2L (441024)	-0.195352253	0.002173568	0.005563684
BAG4 (9530)	-0.195321209	0.000147956	0.000497972
SIAH2 (6478)	-0.19527894	0.000943874	0.002635577
TMEM183A (92703)	-0.195276923	2.01E-05	8.16E-05
GABARAP (11337)	-0.195270528	0.000327394	0.001015164
GPR84 (53831)	-0.1952231	0.000325522	0.001010179
SLFN12L (100506736)	-0.195178591	0.003446441	0.008405996
IKZF4 (64375)	-0.195177775	0.00032934	0.001020374
HS3ST3A1 (9955)	-0.195124088	0.127000177	0.194192603
PCID2 (55795)	-0.19488082	0.000174285	0.000576057
TRMT10B (158234)	-0.194866735	0.000221964	0.000715488
SLC25A32 (81034)	-0.194772833	0.000233534	0.000748873
GRPEL2 (134266)	-0.194771477	0.000130977	0.000445447
SLX1A (548593)	-0.194739969	0.010647963	0.022750513
BUD13 (84811)	-0.19472071	0.000379216	0.001158217
MAP3K8 (1326)	-0.19471755	0.077559963	0.12769246
EPRS (2058)	-0.194717121	2.13E-05	8.60E-05
TAMM41 (132001)	-0.194476226	6.66E-05	0.000241767
FOCAD (54914)	-0.19447022	0.019610454	0.03888777
ZNF518A (9849)	-0.194441712	0.008134943	0.017921214
RRP1 (8568)	-0.194387986	0.000178952	0.000589447
FAM32A (26017)	-0.194371642	5.21E-06	2.39E-05
SBSPON (157869)	-0.194343328	0.031790791	0.059058992
CALY (50632)	-0.194305494	0.013214751	0.027522345
FAM172A (83989)	-0.194266253	0.001040625	0.002874707
DENND1A (57706)	-0.194260676	0.001393261	0.003735134
ZNF770 (54989)	-0.194258108	0.000350197	0.001079403
ARIH1 (25820)	-0.194256741	1.69E-05	6.96E-05
CNPY3 (10695)	-0.19420512	0.000781934	0.002221959
DOHH (83475)	-0.194165093	2.24E-05	9.00E-05
ARL15 (54622)	-0.194132758	0.012398824	0.026032362
INHBC (3626)	-0.194116933	3.49E-06	1.66E-05
USE1 (55850)	-0.194096631	0.00092797	0.002595333
SLC25A37 (51312)	-0.194084247	0.016935607	0.034156685
CAPN15 (6650)	-0.19404419	0.000586174	0.001712193
TMEM175 (84286)	-0.193972484	0.004300713	0.010225144
CARD16 (114769)	-0.193949328	0.249172765	0.343300713
ZBTB12 (221527)	-0.193900754	0.006841838	0.015355695
ARHGAP11A (9824)	-0.193898054	0.008945875	0.019443668
SPARC (6678)	-0.193886898	0.580859519	0.671577161
ING4 (51147)	-0.193854362	0.002961187	0.007336478
SLC16A10 (117247)	-0.193821914	0.027394564	0.051955768
NPIPB13 (613037)	-0.193765969	0.000313253	0.00097606
C1QTNF4 (114900)	-0.19343092	0.000459229	0.001373668
MYBBP1A (10514)	-0.193396516	0.000996477	0.002766723
SRSF7 (6432)	-0.193352092	2.11E-05	8.51E-05
SF3B5 (83443)	-0.193211228	5.26E-05	0.00019472
EIF3E (3646)	-0.193201156	0.002114107	0.005431086
SNRNP40 (9410)	-0.193090728	0.000331731	0.001026948
F2R (2149)	-0.193057165	0.303438769	0.402817543
SETD1A (9739)	-0.192984602	0.000512361	0.001516722
PANO1 (101927423)	-0.192931509	7.99E-08	5.25E-07
WNT2 (7472)	-0.19286374	0.001022013	0.002830644
RSBN1L (222194)	-0.192824793	0.000843447	0.00237945
H2AFY (9555)	-0.192750996	0.002502445	0.006301039
PAN2 (9924)	-0.192724641	0.025737598	0.049192095
MIIP (60672)	-0.192714425	0.001379257	0.003701219
CDC7 (8317)	-0.192668879	0.013811099	0.02859369
PEX6 (5190)	-0.192479944	0.010951385	0.023349294
MIER2 (54531)	-0.192418488	0.005570489	0.012800887
PPIH (10465)	-0.19225783	0.000456781	0.00136719
SCO1 (6341)	-0.192236442	8.59E-05	0.000304458
GP9 (2815)	-0.192144194	8.78E-05	0.00031057
SERHL2 (253190)	-0.192118413	0.014174599	0.029244371
UBE2I (7329)	-0.192097859	1.17E-05	4.99E-05
SEPT2 (4735)	-0.192028712	0.000421312	0.001273581
NAP1L4 (4676)	-0.191942192	2.20E-05	8.83E-05
PLA2G3 (50487)	-0.191939312	0.011998942	0.025277954
FBXO4 (26272)	-0.19177113	0.00871058	0.018999129
BCKDHB (594)	-0.191682048	0.001226709	0.003332025
GDF6 (392255)	-0.191604275	0.046625054	0.082306096
RCL1 (10171)	-0.191596377	0.003045603	0.007531002
ING5 (84289)	-0.191552771	0.000624191	0.00181218
C1orf216 (127703)	-0.191479799	0.016767581	0.033874901
RBM17 (84991)	-0.191401368	0.000348383	0.001074505
ACTR3 (10096)	-0.191396794	0.00095968	0.002674642
ZNF598 (90850)	-0.191332598	0.000211515	0.000685035
NPIPB9 (100507607)	-0.191328439	4.30E-05	0.000162183
SFRP2 (6423)	-0.191229411	0.043283865	0.077225192
HIST1H2AJ (8331)	-0.191046728	0.001413585	0.00378379
FHOD1 (29109)	-0.190968562	0.021782044	0.042594019
PPOX (5498)	-0.190832191	0.001897221	0.004925469
ZNF76 (7629)	-0.190809242	0.002796892	0.006977287
SKA3 (221150)	-0.190799184	0.005488706	0.012633857
COPS2 (9318)	-0.190776473	8.69E-05	0.000307573
HAS1 (3036)	-0.190771687	0.004709311	0.011059255
RABEP2 (79874)	-0.190736929	0.004812281	0.011265138
PTPN18 (26469)	-0.190729408	0.027281192	0.051778086
MTDH (92140)	-0.190696092	0.000867927	0.002440239
SMNDC1 (10285)	-0.190636241	5.71E-06	2.59E-05
TTC9C (283237)	-0.190626035	4.66E-05	0.000174595
ACAD8 (27034)	-0.190605703	0.003057582	0.007552818
CCL25 (6370)	-0.190563909	7.78E-06	3.44E-05
CORO2B (10391)	-0.190550249	0.113419498	0.176469508
CYB561A3 (220002)	-0.190467343	0.002229873	0.005693343
NAA60 (79903)	-0.190456069	0.000115799	0.000398786
NAT10 (55226)	-0.190399421	0.002145155	0.005500515
USP16 (10600)	-0.190269918	0.000106217	0.000368908
DCTN6 (10671)	-0.190246411	0.000109544	0.000379363
SHOX (6473)	-0.19019559	0.000215189	0.000696226
